grid_id,row,col,centroid_lat,centroid_lon,elevation_m,slope_deg,distance_to_river_m,road_density_km_per_km2,building_density_count_per_km2,susceptibility,flood_polygon_intersection,flood_polygon_source
G0714,7,14,-2.013157,30.012584,1352.0,0.26,83,0.0,0,0.9375146097753919,1,official
G0715,7,15,-2.013157,30.014831,1352.0,0.11,63,4.22,0,0.957882421685493,1,official
G0716,7,16,-2.013157,30.017078,1351.0,0.11,198,0.0,0,0.929848377387046,1,official
G0717,7,17,-2.013157,30.019325,1352.0,0.16,168,0.0,0,0.9125424270450374,1,official
G0718,7,18,-2.013157,30.021572,1350.0,7.43,81,4.25,80,0.9138375430284821,1,official
G0719,7,19,-2.013157,30.023819,1417.0,9.32,329,10.8,304,0.6016154021414248,0,official
G0720,7,20,-2.013157,30.026067,1410.0,7.57,579,0.53,0,0.48721370468653935,0,official
G0721,7,21,-2.013157,30.028314,1465.0,13.34,626,6.33,0,0.3013565204593462,0,official
G0722,7,22,-2.013157,30.030561,1517.0,8.64,574,7.86,48,0.35756123497999304,0,official
G0723,7,23,-2.013157,30.032808,1506.0,13.87,519,5.39,80,0.3307545083016972,0,official
G0724,7,24,-2.013157,30.035055,1463.0,13.6,408,0.0,336,0.4452914165342326,0,official
G0725,7,25,-2.013157,30.037302,1419.0,10.32,237,7.62,144,0.6074717913138076,0,official
G0726,7,26,-2.013157,30.039549,1406.0,6.23,28,4.11,0,0.7268675393658268,0,official
G0800,8,0,-2.010911,29.981124,1499.0,13.61,294,10.91,0,0.3801205936049033,0,official
G0801,8,1,-2.010911,29.983371,1447.0,6.24,70,6.54,0,0.6336323108216608,0,official
G0802,8,2,-2.010911,29.985618,1464.0,10.4,167,3.49,0,0.5053072481596347,0,official
G0803,8,3,-2.010911,29.987865,1492.0,8.52,395,0.0,0,0.41112309982865153,0,official
G0804,8,4,-2.010911,29.990112,1503.0,7.82,524,0.0,0,0.3639519061310433,0,official
G0805,8,5,-2.010911,29.992359,1517.0,7.39,479,13.13,0,0.3748671853220017,0,official
G0806,8,6,-2.010911,29.994606,1522.0,4.31,423,17.27,0,0.4423659235906013,0,official
G0807,8,7,-2.010911,29.996854,1506.0,6.48,504,4.77,0,0.3904144950070429,0,official
G0808,8,8,-2.010911,29.999101,1467.0,9.87,674,0.0,0,0.3181976596313749,0,official
G0809,8,9,-2.010911,30.001348,1420.0,9.97,625,0.0,0,0.416824852126881,0,official
G0810,8,10,-2.010911,30.003595,1381.0,7.04,535,3.9,240,0.6271753851030658,0,official
G0811,8,11,-2.010911,30.005842,1366.0,3.82,297,3.65,112,0.7938581115338396,0,official
G0812,8,12,-2.010911,30.008089,1355.0,1.79,65,0.0,0,0.8933379938811656,0,official
G0813,8,13,-2.010911,30.010336,1352.0,0.51,99,5.46,0,0.9263663460760378,1,official
G0814,8,14,-2.010911,30.012584,1351.0,0.16,77,4.39,0,0.9692905576691978,1,official
G0815,8,15,-2.010911,30.014831,1351.0,0.0,65,5.1,0,0.9853707341868038,1,official
G0816,8,16,-2.010911,30.017078,1351.0,0.16,229,0.0,0,0.9122689178982405,1,official
G0817,8,17,-2.010911,30.019325,1352.0,0.69,77,0.0,0,0.933011357576673,1,official
G0818,8,18,-2.010911,30.021572,1357.0,9.42,138,8.73,64,0.7734374246193483,0,official
G0819,8,19,-2.010911,30.023819,1432.0,11.36,363,1.44,192,0.5243588455443932,0,official
G0820,8,20,-2.010911,30.026067,1456.0,10.11,600,4.59,304,0.42018904036241117,0,official
G0821,8,21,-2.010911,30.028314,1462.0,12.21,844,0.0,64,0.27624565341090734,0,official
G0822,8,22,-2.010911,30.030561,1541.0,12.67,762,4.64,0,0.17824511333969467,0,official
G0823,8,23,-2.010911,30.032808,1550.0,13.5,525,6.39,16,0.28994092279618966,0,official
G0824,8,24,-2.010911,30.035055,1481.0,14.08,309,0.0,256,0.44420548487472544,0,official
G0825,8,25,-2.010911,30.037302,1456.0,10.86,106,5.8,80,0.5784929440172061,0,official
G0826,8,26,-2.010911,30.039549,1428.0,9.0,92,4.57,176,0.6663701721165016,0,official
G0900,9,0,-2.008665,29.981124,1448.0,3.89,51,0.96,0,0.6804001878799427,0,official
G0901,9,1,-2.008665,29.983371,1431.0,3.95,36,6.81,0,0.716195665304567,0,official
G0902,9,2,-2.008665,29.985618,1415.0,1.17,74,3.48,0,0.7663454842494882,0,official
G0903,9,3,-2.008665,29.987865,1433.0,8.31,201,0.0,0,0.57578872846421,0,official
G0904,9,4,-2.008665,29.990112,1458.0,12.31,303,0.0,0,0.4428863114075314,0,official
G0905,9,5,-2.008665,29.992359,1469.0,10.96,284,0.61,0,0.44454640643587867,0,official
G0906,9,6,-2.008665,29.994606,1491.0,9.52,174,15.57,0,0.4799906703276925,0,official
G0907,9,7,-2.008665,29.996854,1494.0,2.6,325,8.62,0,0.5314098753269149,0,official
G0908,9,8,-2.008665,29.999101,1474.0,9.62,553,3.58,0,0.35591915090204623,0,official
G0909,9,9,-2.008665,30.001348,1410.0,12.0,430,0.0,0,0.48119727535488327,0,official
G0910,9,10,-2.008665,30.003595,1368.0,7.14,295,4.17,0,0.6858512020186673,0,official
G0911,9,11,-2.008665,30.005842,1353.0,2.51,262,0.0,0,0.8299359749308155,1,official
G0912,9,12,-2.008665,30.008089,1353.0,0.36,139,0.0,0,0.8990746102333845,1,official
G0913,9,13,-2.008665,30.010336,1352.0,0.26,95,5.65,0,0.9330129013724217,1,official
G0914,9,14,-2.008665,30.012584,1351.0,0.0,317,0.0,0,0.8908348577244273,1,official
G0915,9,15,-2.008665,30.014831,1352.0,0.16,295,0.0,0,0.8648993464469349,1,official
G0916,9,16,-2.008665,30.017078,1352.0,0.69,196,0.0,0,0.888369415913884,1,official
G0917,9,17,-2.008665,30.019325,1352.0,2.39,38,2.66,0,0.9301133956572254,1,official
G0918,9,18,-2.008665,30.021572,1372.0,10.11,219,6.81,0,0.6587210501310361,0,official
G0919,9,19,-2.008665,30.023819,1434.0,13.94,467,4.09,224,0.4583919386073599,0,official
G0920,9,20,-2.008665,30.026067,1494.0,13.3,696,6.07,912,0.31488145771369763,0,official
G0921,9,21,-2.008665,30.028314,1532.0,15.59,830,8.11,1200,0.21154440168844937,0,official
G0922,9,22,-2.008665,30.030561,1587.0,13.65,735,4.95,0,0.16499188413709992,0,official
G0923,9,23,-2.008665,30.032808,1610.0,13.82,486,9.14,0,0.25132660298423437,0,official
G0924,9,24,-2.008665,30.035055,1546.0,17.88,238,5.84,864,0.4174509899525913,0,official
G0925,9,25,-2.008665,30.037302,1499.0,14.15,49,2.83,1376,0.5470492981582902,0,official
G0926,9,26,-2.008665,30.039549,1462.0,11.22,240,7.69,752,0.5433562814283044,0,official
G1000,10,0,-2.006419,29.981124,1499.0,13.21,199,1.78,0,0.41961860783329685,0,official
G1001,10,1,-2.006419,29.983371,1457.0,8.35,209,1.39,0,0.5331956610591287,0,official
G1002,10,2,-2.006419,29.985618,1454.0,9.48,160,0.0,0,0.5395488951632749,0,official
G1003,10,3,-2.006419,29.987865,1433.0,8.37,17,1.01,0,0.6438500516335354,0,official
G1004,10,4,-2.006419,29.990112,1400.0,2.97,107,0.0,0,0.7592886652329093,0,official
G1005,10,5,-2.006419,29.992359,1426.0,10.74,163,4.89,0,0.5704733110520723,0,official
